KEYWORD_ABSTRACT,abstract
KEYWORD_AND,and
KEYWORD_AS,as
KEYWORD_ASYNC,async
KEYWORD_AWAIT,await
KEYWORD_BREAK,break
KEYWORD_CATCH,catch
KEYWORD_CLASS,class
KEYWORD_CONST,const
KEYWORD_CONTINUE,continue
KEYWORD_DEF,def
KEYWORD_DEL,del
KEYWORD_DELETE,delete
KEYWORD_ELSE,else
KEYWORD_EXIT,exit
KEYWORD_FIELD,field
KEYWORD_FINAL,final
KEYWORD_FINALLY,finally
KEYWORD_FOR,for
KEYWORD_FROM,from
KEYWORD_FUNCTION,function
KEYWORD_IF,if
KEYWORD_IMPORT,import
KEYWORD_INTERFACE,interface
KEYWORD_IN,in
KEYWORD_IS,is
KEYWORD_ISNOT,isnot
KEYWORD_METHOD,method
KEYWORD_MODULE,module
KEYWORD_NEW,new
KEYWORD_NOTIN,notin
KEYWORD_OR,or
KEYWORD_PACKAGE,package
KEYWORD_PRIVATE,private
KEYWORD_PROTECTED,protected
KEYWORD_RAISE,raise
KEYWORD_READONLY,readonly
KEYWORD_RETURN,return
KEYWORD_STATIC,static
KEYWORD_THEN,then
KEYWORD_TRY,try
KEYWORD_WHILE,while
