SYMBOL_LPAREN,(
SYMBOL_RPAREN,)
SYMBOL_LBRACE,{
SYMBOL_RBRACE,}
SYMBOL_LBRACKET,[
SYMBOL_RBRACKET,]
SYMBOL_RARROW,->
SYMBOL_LARROW,<-
SYMBOL_INCREMENT,++
SYMBOL_DECREMENT,--
SYMBOL_LTHANEQ,<=
SYMBOL_GTHANEQ,>=
SYMBOL_EQUIV,==
SYMBOL_NEQUIV,!=
SYMBOL_PLUS,+
SYMBOL_MINUS,-
SYMBOL_STAR,*
SYMBOL_FSLASH,/
SYMBOL_BSLASH,\
SYMBOL_PERCENT,%
SYMBOL_AMPER,&
SYMBOL_PIPE,|
SYMBOL_CARET,^
SYMBOL_TILDE,~
SYMBOL_EXCLAIM,!
SYMBOL_QUESTION,?
SYMBOL_AT,@
SYMBOL_POUND,#
SYMBOL_LTHAN,<
SYMBOL_GTHAN,>
SYMBOL_EQUALS,=
SYMBOL_COMMA,,
SYMBOL_COLON,:
SYMBOL_PERIOD,.
